0,1,2,3,4,5,6,7,8,9
code,label,date_update,note_update,release_current,state_current,year_current,release_next,state_next,year_next
AE,ASTI - Expenditures,4/30/2026,,4/30/2026,final,,2026-12,final,
AF,ASTI - Researchers,4/30/2026,,4/30/2026,,,2026-12,,
BE,Bioenergy,6/11/2026,,6/11/2026,final,2024,2027-06,final,2025
CAHD,Cost and Affordability of a Healthy Diet (CoAHD),7/21/2026,,7/21/2026,final,2025,2026-12,final,2026
CB,Commodity Balances (non-food) (2010-),6/15/2026,,6/15/2026,final,2023,2026-10,final,2024
CBH,"Commodity Balances (non-food) (-2013, old methodology)",12/3/2021,minor revision,2016-12-20 / 2021-12-03,final,2013,,final,
CP,Consumer Price Indices,7/29/2026,,7/29/2026,preliminary,2026,2026-09,preliminary,2026
CS,Capital Stock,7/10/2025,minor revision,2025-05-16 / 2025-07-10,final,2023,2025-11,final,2024
EA,Development Flows to Agriculture,7/24/2025,,7/24/2025,final,2023,2026-06,final,2024
EI,Emissions intensities,2/20/2026,minor revision,2025-10-28 / 2026-02-20,final,2023,2026-10,final,2024
EK,Livestock Patterns,10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
EM,Emissions indicators,10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
EMN,Livestock Manure,10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
ESB,Cropland Nutrient Balance,12/5/2025,,12/5/2025,final,2023,2026-11,final,2024
ET,Temperature change on land,4/1/2026,,4/1/2026,final,2025,2027-03,final,2026
FA,Food Aid Shipments (WFP),12/22/2016,,12/22/2016,preliminary,2016,,,
FBS,Food Balances (2010-),10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
FBSH,"Food Balances (-2013, old methodology and population)",3/10/2023,minor revision,2016-12-20 / 2023-03-10,final,2013,,,
FDI,Foreign Direct Investment (FDI),2/5/2025,,2/5/2025,final,2023,2025-11,final,2024
FDIQ,Intake (based on individual quantitative dietary surveys),10/28/2025,,10/28/2025,final,,2026-09,final,
FO,Forestry Production and Trade,1/9/2026,minor revision,2025-12-23 / 2026-01-09,final,2024,2026-12,final,2025
FOP,"Pulp and paper capacities, survey",9/24/2025,,9/24/2025,final,2026,2026-09,final,2027
FS,Suite of Food Security Indicators,7/21/2026,,7/21/2026,final,2025,2027-07,final,2026
FT,Forestry Trade Flows,5/27/2022,minor revision,2019-06-19 / 2022-05-27,final,2017,,,
GCE,Emissions from Crops,10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
GF,Emissions from Forests,10/21/2025,,10/21/2025,final,2025,2026-10,final,2025
GFDI,Value shares by industry and primary factors,11/19/2024,,11/19/2024,final,2021,,final,
GI,Emissions from Fires,10/28/2025,,10/28/2025,final,2024,2026-10,final,2025
GLE,Emissions from Livestock,10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
GN,Emissions from Energy use in agriculture,10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
GPP,Emissions from pre and post agricultural production,5/22/2026,minor revision,2025-10-28 / 2026-05-22,final,2023,2026-10,final,2024
GT,Emissions totals,10/28/2025,,10/28/2025,final,2023,2026-10,final,2024
GV,Emissions from Drained organic soils,10/28/2025,,10/28/2025,final,2024,2026-10,final,2025
HCES,Apparent intake (based on household consumption and expenditure surveys),10/28/2025,,10/28/2025,final,,2026-09,final,
HS,"Indicators from Household Surveys (gender, area, socioeconomics)",7/31/2014,,7/31/2014,final,2014,,,
IC,Credit to Agriculture,4/17/2026,minor revision,2026-01-07 / 2026-04-17,final,2024,2026-11,final,2025
IG,Government Expenditure,3/23/2026,minor revision,2025-12-24 / 2026-03-23,final,2024,2026-12,final,2025
LC,Land Cover,7/17/2026,,7/17/2026,final,2024,2027-06,final,2025
