m49,country,overlap_tier,priority_action,overlap_index
776,Tonga,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.7153333412539058
882,Samoa,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.5828724422066831
634,Qatar,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.5711543278248491
462,Maldives,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.5197795155172856
414,Kuwait,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.5145731791570852
690,Seychelles,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.513064426310863
044,Bahamas,Critical overlap,Diversify suppliers and launch low-emissions procurement standards immediately,0.4973759374254939
096,Brunei Darussalam,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.49510882820024893
028,Antigua and Barbuda,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.4839475727617245
308,Grenada,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.4835313661044704
132,Cabo Verde,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.48110032026419314
178,Congo,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.47933710845353267
140,Central African Republic,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.4777075145378573
446,"China, Macao SAR",High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.46929727567390744
478,Mauritania,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.4690030855351086
024,Angola,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.4681389665807141
862,Venezuela (Bolivarian Republic of),High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.462051111424566
562,Niger,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.45637883867172035
626,Timor-Leste,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.44656706361089993
270,Gambia,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.44487593104995915
275,Palestine,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.44106230581992495
499,Montenegro,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.437615212248986
212,Dominica,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.423256300129837
072,Botswana,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.42105175138645423
392,Japan,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.41929625746228705
352,Iceland,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.4041728224736159
682,Saudi Arabia,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.4018705244426814
470,Malta,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.40023966240752007
070,Bosnia and Herzegovina,Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.3994368213516401
578,Norway,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.39333407295751965
180,Democratic Republic of the Congo,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.39193525240190996
410,Republic of Korea,High emissions,Decarbonize food import basket through supplier standards and product switching,0.38594127689209856
242,Fiji,High emissions,Decarbonize food import basket through supplier standards and product switching,0.3859091679804907
591,Panama,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.3849844211354618
048,Bahrain,High emissions,Decarbonize food import basket through supplier standards and product switching,0.3811112299858031
052,Barbados,High emissions,Decarbonize food import basket through supplier standards and product switching,0.3748793991578425
670,Saint Vincent and the Grenadines,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.3730903936761399
064,Bhutan,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.37277353611516634
266,Gabon,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.3700827267470519
158,"China, Taiwan Province of",Critical overlap,Prioritize low-emissions substitution and strategic food buffers,0.36920679838722537
426,Lesotho,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.36738109282366865
008,Albania,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.3581041498059712
678,Sao Tome and Principe,High vulnerability,"Strengthen resilience: diversify import partners, stocks, and shock monitoring",0.3567320243623842
400,Jordan,High emissions,Decarbonize food import basket through supplier standards and product switching,0.35616166970473057
422,Lebanon,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.34970070085319654
762,Tajikistan,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.34803950293806524
388,Jamaica,High emissions,Decarbonize food import basket through supplier standards and product switching,0.3408680247117732
156,"China, mainland",High emissions,Decarbonize food import basket through supplier standards and product switching,0.3383219784028401
512,Oman,High emissions,Decarbonize food import basket through supplier standards and product switching,0.3334649710529057
740,Suriname,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.33090683077073624
196,Cyprus,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.32939960039462524
608,Philippines,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.3261824028986669
376,Israel,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.32053068786279904
860,Uzbekistan,High emissions,Decarbonize food import basket through supplier standards and product switching,0.31957049638381424
222,El Salvador,High emissions,Decarbonize food import basket through supplier standards and product switching,0.3159848051159539
516,Namibia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.31312795786545555
686,Senegal,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.31252897008196623
826,United Kingdom of Great Britain and Northern Ireland,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.30833597127657913
417,Kyrgyzstan,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.30790674464248574
246,Finland,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.305285632754622
780,Trinidad and Tobago,High emissions,Decarbonize food import basket through supplier standards and product switching,0.3048533836648675
344,"China, Hong Kong SAR",High emissions,Decarbonize food import basket through supplier standards and product switching,0.29755287451251233
031,Azerbaijan,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.2787904490697972
598,Papua New Guinea,High emissions,Decarbonize food import basket through supplier standards and product switching,0.2739004203029551
508,Mozambique,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.27199595159580287
752,Sweden,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.2673822790323634
204,Benin,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.26448939852204373
262,Djibouti,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.26406735645832835
818,Egypt,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.25704460368109916
442,Luxembourg,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.25413289030802516
214,Dominican Republic,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.24944517952028872
807,North Macedonia,High emissions,Decarbonize food import basket through supplier standards and product switching,0.24558335787265206
504,Morocco,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.24317353310519255
784,United Arab Emirates,High emissions,Decarbonize food import basket through supplier standards and product switching,0.24309673159638423
191,Croatia,High emissions,Decarbonize food import basket through supplier standards and product switching,0.23494859145345204
620,Portugal,High emissions,Decarbonize food import basket through supplier standards and product switching,0.23448969711482734
466,Mali,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.23400668689286372
108,Burundi,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.22203215120774983
268,Georgia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.21383791303980493
788,Tunisia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.21168196515142815
756,Switzerland,High emissions,Decarbonize food import basket through supplier standards and product switching,0.21021053446227836
703,Slovakia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.2047662911143792
300,Greece,High emissions,Decarbonize food import basket through supplier standards and product switching,0.18969102648195157
768,Togo,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.18629070839492234
705,Slovenia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.18520909661496748
450,Madagascar,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.18000060171512314
702,Singapore,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.17982018517483908
276,Germany,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.17696567124159102
840,United States of America,High emissions,Decarbonize food import basket through supplier standards and product switching,0.174855697394091
120,Cameroon,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.17407007895826587
233,Estonia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.17404217976289182
051,Armenia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1693769859413031
642,Romania,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.16803471428880817
854,Burkina Faso,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.16800151309747388
496,Mongolia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1641829251581434
380,Italy,High emissions,Decarbonize food import basket through supplier standards and product switching,0.16105413142074876
250,France,High emissions,Decarbonize food import basket through supplier standards and product switching,0.15736995753993788
203,Czechia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.15568652327824692
398,Kazakhstan,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.15323381824929147
040,Austria,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.15102416816653344
704,Viet Nam,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.14496705333042367
586,Pakistan,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.14407444737477876
428,Latvia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.14359529931292367
404,Kenya,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.13818336339937434
231,Ethiopia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1380526857556837
458,Malaysia,High emissions,Decarbonize food import basket through supplier standards and product switching,0.1366135213807002
792,Türkiye,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.13363084578309042
716,Zimbabwe,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.13216434737783067
056,Belgium,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.12913037569477154
328,Guyana,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1283448698149618
288,Ghana,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.12796682347302457
144,Sri Lanka,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1268204773865189
170,Colombia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1264862327077102
356,India,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.12615299391232812
528,Netherlands (Kingdom of the),High emissions,Decarbonize food import basket through supplier standards and product switching,0.12454559974991668
372,Ireland,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.12304561715067305
484,Mexico,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.12250611361713426
724,Spain,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1222334703856903
116,Cambodia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.12089276471678302
100,Bulgaria,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.12045496654070315
208,Denmark,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.11935932794731462
440,Lithuania,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.11724993832326722
348,Hungary,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.11618298863689742
340,Honduras,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.11430677822143219
124,Canada,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.11269048452431808
688,Serbia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.11248295513626815
320,Guatemala,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.10994543522953526
748,Eswatini,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1084720000608254
604,Peru,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.10268567170202218
498,Republic of Moldova,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.10262599036769121
616,Poland,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.1018116917075598
360,Indonesia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.10117162795107
558,Nicaragua,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.09618261111050026
710,South Africa,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.09345823135711394
834,United Republic of Tanzania,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.09094634631810433
800,Uganda,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.09022036555460813
188,Costa Rica,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.08965178342775981
418,Lao People's Democratic Republic,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.08810344632637773
894,Zambia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.08452836425763631
218,Ecuador,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.0842542927865438
104,Myanmar,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.06603241188224611
764,Thailand,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.062425119032084656
036,Australia,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.06011473345460954
858,Uruguay,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.05777671286895599
454,Malawi,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.05456554427603294
068,Bolivia (Plurinational State of),Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.05405076347847466
384,Côte d'Ivoire,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.04880965625943078
804,Ukraine,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.042373575641966234
032,Argentina,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.03600744127527039
554,New Zealand,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.034150909972289194
600,Paraguay,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.024093293230263643
076,Brazil,Moderate/Low,Maintain monitoring and incremental efficiency improvements,0.0066084634785571
